Version:,,,,,,
TriggerVersion:,v4,,,,,
0,0.01469033,-7.07,-4.8,359.9938,0,0
0,0.03107522,-7.07,-4.8,359.9938,0,0
0,0.0372966,-7.07,-4.8,359.9938,0,0
0,0.03223396,-7.07,-4.8,359.9938,0,0
0,0.01516737,-7.07,-4.8,359.9938,0,0
0,0.03187676,-7.07,-4.8,359.9938,0,0
0,0.03794725,-7.07,-4.8,359.9938,0,0
0,0.01416253,-7.07,-4.8,359.9938,0,0
0,0.03112611,-7.07,-4.8,359.9938,0,0
0,0.03770639,-7.07,-4.8,359.9938,0,0
0,0.03193304,-7.07,-4.8,359.9938,0,0
0,0.01519979,-7.07,-4.8,359.9938,0,0
0,0.03220687,-7.07,-4.8,359.9938,0,0
0,0.03917144,-7.07,-4.8,359.9938,0,0
0,0.0126354,-7.07,-4.8,359.9938,0,0
0,0.03145408,-7.07,-4.8,359.9938,0,0
0,0.03774702,-7.07,-4.8,359.9938,0,0
0,0.03168618,-7.07,-4.8,359.9938,0,0
0,0.01508417,-7.07,-4.8,359.9938,0,0
0,0.03214774,-7.07,-4.8,359.9938,0,0
0,0.03769697,-7.07,-4.8,359.9938,0,0
0,0.01430052,-7.07,-4.8,359.9938,0,0
0,0.0316025,-7.07,-4.8,359.9938,0,0
0,0.03792554,-7.07,-4.8,359.9938,0,0
0,0.01466964,-7.07,-4.8,359.9938,0,0
0,0.03048173,-7.07,-4.8,359.9938,0,0
0,0.03783095,-7.07,-4.8,359.9938,0,0
25,0.03209047,-7.07,-4.8,359.9938,5,2
0,0.01540736,-7.07,-4.8,359.9938,0,0
0,0.03218729,-7.07,-4.8,359.9938,0,0
0,0.04114065,-7.07,-4.8,359.9938,0,0
0,0.01061093,-7.07,-4.8,359.9938,0,0
45,0.02385259,-7.07,-4.8,359.9938,5,4
0,0.00825576,-7.07,-4.8,359.9938,0,0
0,0.01592037,-7.07,-4.8,359.9938,0,0
0,0.03740345,-7.07,-4.8,359.9938,0,0
0,0.01526162,-7.07,-4.8,359.9938,0,0
0,0.03230286,-7.07,-4.8,359.9938,0,0
0,0.0504075,-7.07,-4.8,359.9938,0,0
0,0.03708434,-7.07,-4.8,359.9938,0,0
0,0.01154356,-7.07,-4.8,359.9938,0,0
0,0.02340046,-7.07,-4.8,359.9938,0,0
0,0.01481351,-7.07,-4.8,359.9938,0,0
0,0.03061594,-7.07,-4.8,359.9938,0,0
0,0.01510399,-7.07,-4.8,359.9938,0,0
0,0.03193515,-7.07,-4.8,359.9938,0,0
0,0.03741869,-7.07,-4.8,359.9938,0,0
0,0.01479239,-7.07,-4.8,359.9938,0,0
0,0.03148029,-7.07,-4.8,359.9938,0,0
0,0.03752449,-7.07,-4.8,359.9938,0,0
